playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jack Henry,7.86,23.58,-23.2,3.31,6.62,-38.87,5.21,15.63,4.22,1.63,6.52,-19.27,0.47,0.47,-28.46,0.31,-0.93,-52.74,0.11,0.66,-19.71,0.0,0.0,-100.0,11.18,-28.56,6.21,-36.24,4.81,-1.52,1.42,150.44,3.79,-14.47,0.33,-49.15,0.45,-69.64,82.48,3.64,2.5,-19.79,161.84,-38.82,80.78,6.3,2.45,72.78,0.69,-30.3,0.0,-100.0,0.0,-100.0,52.54,-1.3,-18.46,52.55
Jack Payne,9.22,27.66,-9.91,2.19,4.38,-59.56,6.86,20.58,37.23,1.41,5.64,-30.16,0.36,0.36,-45.21,0.52,-1.56,-20.73,0.0,0.0,-100.0,0.01,0.01,-92.19,11.41,-27.09,7.65,-21.45,3.95,-19.12,1.17,106.35,5.69,28.41,0.07,-89.21,0.61,-58.84,84.06,5.62,2.92,-6.32,164.41,-37.85,84.82,11.62,2.91,105.22,1.02,3.03,0.04,-96.47,0.02,-98.0,57.21,3.75,-11.22,57.07
Jack Scrimshaw,10.81,32.43,5.63,9.09,18.18,67.87,3.39,10.17,-32.19,0.39,1.56,-80.68,0.08,0.08,-87.82,0.22,-0.66,-66.46,0.0,0.0,-100.0,0.01,0.01,-92.19,19.9,27.16,12.09,24.14,5.89,20.6,0.11,-80.6,3.28,-25.98,0.09,-86.13,1.85,24.83,93.31,17.24,3.84,23.2,295.04,11.54,88.68,16.69,0.96,-32.3,0.95,-4.04,2.81,148.23,1.9,89.81,61.75,-7.53,-4.17,61.77
Jack Sinclair,17.63,52.89,72.27,8.81,17.62,62.7,5.26,15.78,5.22,3.05,12.2,51.06,0.65,0.65,-1.07,0.26,-0.78,-60.37,0.34,2.04,148.18,0.23,0.23,79.69,26.43,68.89,16.5,69.42,7.37,50.9,0.1,-82.36,5.16,16.45,2.68,312.94,3.58,141.57,76.27,-4.17,3.62,16.14,454.18,71.7,73.21,-3.66,0.65,-54.16,1.44,45.45,2.99,164.13,2.71,170.73,100.59,-1.58,56.11,100.63
Jack Ziebell,22.29,66.87,117.8,4.14,8.28,-23.55,9.71,29.13,94.24,2.0,8.0,-0.94,0.14,0.14,-78.69,0.29,-0.87,-55.79,0.0,0.0,-100.0,0.0,0.0,-100.0,26.43,68.89,18.43,89.24,0.57,-88.33,0.14,-75.31,9.57,115.98,0.0,-100.0,3.86,160.46,94.29,18.48,5.71,83.19,641.29,142.43,93.17,22.6,0.29,-79.55,1.86,87.88,4.86,329.33,4.71,370.53,111.57,-5.45,73.15,111.55
Jacob Blight,12.0,36.0,17.26,0.0,0.0,-100.0,8.0,24.0,60.03,3.0,12.0,48.59,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,12.0,-23.32,10.0,2.68,0.0,-100.0,0.0,-100.0,8.0,80.55,0.0,-100.0,0.0,-100.0,75.0,-5.76,7.0,124.57,359.0,35.71,75.0,-1.31,2.0,41.04,0.0,-100.0,0.0,-100.0,0.0,-100.0,72.0,-0.0,11.74,72.0
Jacob Koschitzke,9.0,27.0,-12.06,7.0,14.0,29.27,8.0,24.0,60.03,2.0,8.0,-0.94,1.0,1.0,52.21,0.0,-0.0,-100.0,1.0,6.0,629.93,2.0,2.0,1462.5,16.0,2.24,7.0,-28.12,10.0,104.75,5.0,781.83,3.0,-32.3,1.0,54.08,1.0,-32.52,75.0,-5.76,0.0,-100.0,86.0,-67.49,66.7,-12.23,0.0,-100.0,2.0,102.02,0.0,-100.0,0.0,-100.0,83.0,-0.0,28.81,82.0
Jacob Weitering,10.9,32.7,6.51,3.29,6.58,-39.24,6.17,18.51,23.42,1.21,4.84,-40.07,0.64,0.64,-2.59,0.65,-1.95,-0.91,0.0,0.0,-100.0,0.0,0.0,-100.0,14.19,-9.32,8.05,-17.34,5.82,19.16,1.37,141.62,4.8,8.33,0.21,-67.64,0.13,-91.23,76.99,-3.26,4.63,48.54,215.26,-18.62,74.84,-1.52,2.99,110.86,0.95,-4.04,0.07,-93.82,0.0,-100.0,61.47,-8.85,-4.6,61.32
Jaidyn Stephenson,19.0,57.0,85.66,12.0,24.0,121.61,8.0,24.0,60.03,3.0,12.0,48.59,0.0,0.0,-100.0,1.0,-3.0,52.44,0.0,0.0,-100.0,0.0,0.0,-100.0,31.0,98.1,20.0,105.36,3.0,-38.57,0.0,-100.0,8.0,80.55,0.0,-100.0,0.0,-100.0,80.6,1.27,6.0,92.49,503.0,90.15,78.9,3.83,1.0,-29.48,0.0,-100.0,9.0,695.05,9.0,799.1,114.0,-0.0,76.92,114.0
Jake Kelly,5.59,16.77,-45.38,4.18,8.36,-22.81,3.41,10.23,-31.79,3.57,14.28,76.82,0.05,0.05,-92.39,1.02,-3.06,55.49,0.02,0.12,-85.4,0.0,0.0,-100.0,9.77,-37.57,9.16,-5.95,3.07,-37.14,0.02,-96.47,3.39,-23.49,0.02,-96.92,0.14,-90.55,79.22,-0.46,2.14,-31.34,116.29,-56.04,81.91,7.79,0.07,-95.06,0.11,-88.89,0.02,-98.23,0.02,-98.0,46.75,-8.56,-27.45,46.75
