playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jake Kolodjashnij,7.0,21.0,-31.08,3.0,6.0,-64.59,6.0,18.0,64.11,2.0,8.0,-42.92,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,10.0,-46.31,9.0,-20.13,2.0,-72.86,0.0,-100.0,6.0,75.03,0.0,-100.0,1.0,-66.94,0.0,-100.0,100.0,41.49,1.0,-31.79,0.0,-100.0,0.0,-100.0,118.0,-58.88,2.0,-61.76,0.0,-100.0,0.0,-100.0,53.0,-0.0,-28.6,53.0
Jake Soligo,11.15,33.45,9.79,10.61,21.22,25.25,2.88,8.64,-21.23,3.59,14.36,2.45,1.2,1.2,31.0,1.38,-4.14,62.16,0.38,2.28,-13.83,0.42,0.42,14.13,21.76,16.82,13.09,16.16,9.18,24.56,0.08,-64.91,2.8,-18.32,3.12,9.74,3.0,-0.83,0.39,1.04,69.85,-1.17,1.93,31.65,0.32,-22.71,0.44,-14.73,296.65,3.37,6.99,33.65,1.0,-12.66,14.3,51.76,77.4,2.97,4.27,77.43
Jake Stringer,10.81,32.43,6.44,7.86,15.72,-7.21,3.0,9.0,-17.94,2.05,8.2,-41.5,1.95,1.95,112.88,0.16,-0.48,-81.2,0.86,5.16,95.01,2.81,2.81,663.59,18.67,0.23,4.77,-57.67,14.21,92.81,0.86,277.19,2.14,-37.57,7.58,166.62,5.77,90.74,1.0,159.07,67.06,-5.12,0.0,-100.0,0.02,-95.17,0.3,-41.86,479.51,67.09,10.12,93.5,4.6,301.75,20.05,112.78,74.79,11.63,0.75,74.79
Jamaine Jones,10.0,30.0,-1.54,1.0,2.0,-88.2,4.0,12.0,9.41,1.0,4.0,-71.46,0.0,0.0,-100.0,0.0,-0.0,-100.0,1.0,6.0,126.76,0.0,0.0,-100.0,11.0,-40.95,10.0,-11.26,1.0,-86.43,0.0,-100.0,4.0,16.69,0.0,-100.0,0.0,-100.0,0.0,-100.0,81.8,15.74,4.0,172.85,0.0,-100.0,0.0,-100.0,264.0,-8.0,1.0,-80.88,0.0,-100.0,0.0,-100.0,54.0,-0.0,-27.26,54.0
James Aish,16.0,48.0,57.54,11.0,22.0,29.85,8.0,24.0,118.82,1.5,6.0,-57.19,1.0,1.0,9.17,0.5,-1.5,-41.25,1.0,6.0,126.76,0.0,0.0,-100.0,27.0,44.95,20.0,77.48,6.5,-11.8,0.0,-100.0,8.0,133.37,2.0,-29.65,5.0,65.29,0.5,29.53,80.2,13.47,1.0,-31.79,0.0,-100.0,0.0,-100.0,442.5,54.2,4.5,-13.96,2.0,74.67,0.0,-100.0,105.5,-0.0,42.12,105.5
James Harmes,8.05,24.15,-20.74,9.14,18.28,7.9,2.48,7.44,-32.17,4.24,16.96,21.0,0.57,0.57,-37.77,0.62,-1.86,-27.14,0.14,0.84,-68.25,0.1,0.1,-72.83,17.19,-7.71,10.9,-3.27,6.81,-7.6,0.0,-100.0,2.48,-27.65,1.67,-41.26,3.05,0.83,0.1,-74.09,75.91,7.4,0.62,-57.71,0.0,-100.0,1.95,277.91,213.76,-25.51,5.38,2.87,1.48,29.26,8.48,-10.01,66.48,-6.91,-10.44,66.48
James Jordon,8.71,26.13,-14.24,9.71,19.42,14.63,3.71,11.13,1.48,6.43,25.72,83.5,1.14,1.14,24.45,1.86,-5.58,118.57,0.14,0.84,-68.25,0.14,0.14,-61.96,18.43,-1.06,13.43,19.18,6.0,-18.59,0.0,-100.0,3.71,8.23,1.86,-34.58,4.0,32.23,0.14,-63.73,76.21,7.83,1.86,26.88,0.14,-66.18,1.71,231.4,202.14,-29.56,3.14,-39.96,0.14,-87.77,6.14,-34.84,79.0,-8.67,6.42,78.94
James Peatling,17.0,51.0,67.39,5.5,11.0,-35.07,4.0,12.0,9.41,5.0,20.0,42.69,2.5,2.5,172.93,0.5,-1.5,-41.25,0.5,3.0,13.38,0.0,0.0,-100.0,22.5,20.79,14.0,24.23,9.5,28.9,0.5,119.3,3.5,2.1,5.0,75.87,4.5,48.76,1.0,159.07,62.5,-11.57,1.5,2.32,1.0,141.55,0.5,-3.1,538.0,87.48,7.0,33.84,1.5,31.0,14.0,48.57,98.0,-0.0,32.02,98.0
James Rowbottom,9.81,29.43,-3.41,9.26,18.52,9.31,1.88,5.64,-48.58,7.64,30.56,118.04,1.49,1.49,62.66,1.06,-3.18,24.56,0.24,1.44,-45.58,0.29,0.29,-21.2,19.07,2.38,9.0,-20.13,10.28,39.48,0.09,-60.53,1.8,-47.49,5.04,77.28,3.37,11.4,0.08,-79.27,68.8,-2.66,1.43,-2.46,0.68,64.25,0.73,41.47,258.81,-9.81,7.02,34.23,1.72,50.22,19.82,110.34,84.19,0.42,13.41,84.19
James Tunstill,6.0,18.0,-40.92,3.0,6.0,-64.59,2.0,6.0,-45.3,1.0,4.0,-71.46,0.0,0.0,-100.0,1.0,-3.0,17.51,0.0,0.0,-100.0,0.0,0.0,-100.0,9.0,-51.68,9.0,-20.13,2.0,-72.86,0.0,-100.0,2.0,-41.66,1.0,-64.83,1.0,-66.94,0.0,-100.0,88.9,25.78,0.0,-100.0,0.0,-100.0,0.0,-100.0,177.0,-38.32,1.0,-80.88,1.0,-12.66,0.0,-100.0,31.0,-0.0,-58.24,31.0
