playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Max Lynch,6.25,18.75,-5.32,4.0,8.0,-37.46,1.75,5.25,-36.98,2.0,8.0,-37.05,1.0,1.0,-23.84,0.75,-2.25,-44.24,1.0,6.0,103.25,0.25,0.25,-24.7,10.25,-21.14,3.5,-40.37,5.5,-22.84,0.75,11.11,1.0,-52.43,2.0,-33.84,18.25,18.25,-7.59,6.75,22.57,2.0,2.3,0.0,-100.0,1.0,85.19,0.0,-100.0,63.25,-0.0,-14.46,63.25
Ned Moyle,6.06,18.18,-8.2,6.7,13.4,4.75,2.2,6.6,-20.78,3.17,12.68,-0.22,1.23,1.23,-6.32,1.93,-5.79,43.49,0.12,0.72,-75.61,0.0,0.0,-100.0,12.76,-1.82,3.57,-39.18,9.56,34.12,0.98,45.19,1.23,-41.48,3.89,28.68,27.67,27.67,40.1,7.92,43.82,1.74,-11.0,0.61,-3.94,0.0,-100.0,0.0,-100.0,74.69,13.05,1.01,74.69
Ned Reeves,3.94,11.82,-40.31,5.23,10.46,-18.23,1.65,4.95,-40.58,2.99,11.96,-5.89,0.97,0.97,-26.12,2.17,-6.51,61.34,0.31,1.86,-36.99,0.02,0.02,-93.98,9.17,-29.45,3.55,-39.52,5.94,-16.67,0.64,-5.19,1.0,-52.43,2.94,-2.75,25.43,25.43,28.76,5.92,7.5,1.35,-30.95,0.39,-38.58,0.04,-92.59,0.01,-92.81,60.94,-2.45,-17.59,60.96
Nic Naitanui,5.38,16.14,-18.5,7.75,15.5,21.17,1.5,4.5,-45.98,2.38,9.52,-25.09,1.0,1.0,-23.84,2.0,-6.0,48.7,0.25,1.5,-49.19,0.12,0.12,-63.86,13.12,0.95,2.88,-50.94,11.38,59.65,0.5,-25.93,1.0,-52.43,5.62,85.91,28.75,28.75,45.57,9.12,65.61,1.0,-48.85,0.25,-60.63,0.0,-100.0,0.0,-100.0,71.0,-0.0,-3.98,71.03
Nick Bryan,8.86,26.58,34.22,6.0,12.0,-6.19,0.71,2.13,-74.43,3.71,14.84,16.78,0.14,0.14,-89.34,0.0,-0.0,-100.0,0.14,0.84,-71.54,0.0,0.0,-100.0,14.86,14.33,8.86,50.94,4.14,-41.92,0.14,-79.26,0.57,-72.88,3.57,18.09,20.71,20.71,4.86,6.14,11.49,0.29,-85.17,0.14,-77.95,0.14,-74.07,0.0,-100.0,77.29,-6.88,4.52,77.24
Oliver Henry,7.0,21.0,6.04,1.0,2.0,-84.37,5.0,15.0,80.05,0.0,0.0,-100.0,1.0,1.0,-23.84,1.0,-3.0,-25.65,1.0,6.0,103.25,2.0,2.0,502.41,8.0,-38.45,4.0,-31.86,5.0,-29.85,1.0,48.15,4.0,90.29,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,1.0,-48.85,0.0,-100.0,3.0,455.56,0.0,-100.0,44.0,-0.0,-40.5,44.0
Oscar McInerney,6.97,20.91,5.59,6.0,12.0,-6.19,1.84,5.52,-33.74,3.04,12.16,-4.31,1.64,1.64,24.9,0.79,-2.37,-41.26,0.36,2.16,-26.83,0.17,0.17,-48.8,12.97,-0.21,3.21,-45.32,10.29,44.36,0.8,18.52,1.04,-50.52,5.5,81.94,32.86,32.86,66.38,8.06,46.36,2.0,2.3,0.63,-0.79,0.45,-16.67,0.08,-42.45,85.07,3.42,15.04,85.05
Paddy Ryder,6.44,19.32,-2.44,1.89,3.78,-70.45,2.89,8.67,4.07,2.33,9.32,-26.66,1.33,1.33,1.29,2.11,-6.33,56.88,1.0,6.0,103.25,0.67,0.67,101.81,8.33,-35.91,3.67,-37.48,5.44,-23.68,0.89,31.85,2.0,-4.85,2.33,-22.92,22.78,22.78,15.34,6.78,23.12,1.33,-31.97,0.56,-11.81,0.89,64.81,0.33,137.41,65.56,-0.0,-11.34,65.54
Peter Ladhams,8.63,25.89,30.74,7.69,15.38,20.23,3.3,9.9,18.83,2.16,8.64,-32.01,1.64,1.64,24.9,1.8,-5.4,33.83,0.24,1.44,-51.22,0.16,0.16,-51.81,16.33,25.64,8.03,36.8,8.26,15.88,0.37,-45.19,2.93,39.39,4.55,50.51,21.84,21.84,10.58,5.09,-7.57,2.44,24.81,0.84,32.28,0.38,-29.63,0.06,-56.83,79.46,4.24,7.46,79.49
Reilly O'Brien,6.13,18.39,-7.14,5.57,11.14,-12.91,2.41,7.23,-13.22,3.62,14.48,13.94,0.85,0.85,-35.26,1.38,-4.14,2.6,0.11,0.66,-77.64,0.14,0.14,-57.83,11.69,-10.06,4.6,-21.64,6.24,-12.46,0.75,11.11,1.66,-21.03,3.15,4.2,42.04,42.04,112.86,12.08,119.36,2.15,9.97,0.93,46.46,0.2,-62.96,0.04,-71.22,90.77,-0.34,22.75,90.79
